Date,Text
2015-05-19,@Am__Yours के यो साँच्चीकै रेले हो? (प्रश्न गम्भिर छ )
2015-05-19,"गाेली र बाेलीमा कुन शक्तिशाली ?
याेगी नरहरिनाथ http://t.co/W6PLAdWOhp"
2015-05-19,@anamdhami हो त तिमि भन्दा हजारौ गुणा बढी पीडित छु।त्यतिकै घायल भएको होइन नि#म
2015-05-19,"@HKishor_ ++तर तेती खेर चैँ जरुर उठ्नुस जती खेर उठ्दा तपाईंले देखेको सपना पुरा गर्नको लागी ढिला हुने छैन । 
शुभ-विहानी सबैलाई ।"
2015-05-19,@Sabdachittra  मलाइ भौतिक क्षति को तेति चिन्ता लागेको छैन सर जति मानबिय क्षति को छ ;(
2015-05-19,@Hiemaa82 कति राम्रा हुन् के रेलु दाई
2015-05-19,गए राती आइपिएल कस्ले जित्यो ? Help #
2015-05-19,"सुन्दा आदर्श लाग्न सक्छ तैनी... भाले बास्दैमा र घाम उदाउँदैमा उठ्नै पर्छ भन्ने होईन मित्र, त्यो त विहानी भएको संकेत मात्रै हो । ++"
2015-05-19,विहानै शान्तिनगर गेट अगाडी मोटरसाईकल र्दुघटना - News Abhiyan https://t.co/7o92xD2LEi via @sharethis
2015-05-19,विश्वासकाे अाश र बिहान बेलुकाकाे दुई गासले जिन्दगी चल्दैन ।
2015-05-19,"@Abhimanyuth त्यै निसास्सिने मज्जा लुट्दा लुट्दै यति धेरै डुबिएच की अब निसास्सिएर बस्नी नै बानी परेच ,दाजू
म बाटो खोज्न सक्दिन अब 😑😑"
2015-05-19,कस्तो चिसो विहान हो।
2015-05-19,"यति सम्मका केटी देखियो , कपडा पसलमा गएर कपडा चेक गर्ने निहुमा कपडा लगाएर फोटो खिचेर राखेर लास्टाँ मन परेन भनेर गएसी त्यही फोटो फेसबुकाँ हाले"
2015-05-19,"हे भुकम्प देवता प्रसन्न भवन्ति ।
अब उपरान्त नहल्लायन्ति ।।

#NepalQuake"
2015-05-19,@Bikram__4u यस्सै गफ लडाम्नि क्या :)
2015-05-19,यो ओबा मामा भन्या को रैछ?@setopati http://t.co/n9qIRWdSLn
2015-05-19,गैर आवसीय नेपाली संघ इलिनोइको सपथ ग्रहण - http://t.co/aeYvaEqM4m
2015-05-19,"दाँत खुस्कने बेलाभओ- बुढा हिड चाडै ब्या अरम, तिमी र म मात्रै देखे ऐलेसम्म ब्रम्हचारीभा, सबैले छोराछोरीको कुरा अर्चन, हामी तालु र दात खुस्रने"
2015-05-19,"@Hiemaa82 हाहा छ म संग, यताट गर्न नसक्या मात्रै हुँ ! यस्तै छु के म लाँस्टै डर लाम्छ, लाजको कुटीरो उस्तै छु :))"
2015-05-19,@NepalParu 😁 बिहान-बिहान 😋
2015-05-19,@urstrulybinod ६०१ सभासद मरेपछि चाहिँ कुन महोदयले मुलुक बनाउछँ भन्नुस त??
2015-05-19,एकछिन टिएलाँ' चाहरियो । अब एक छिन् रेडियोतिर खबराँ !
